ID,state
0,Glycolysis -- Invasion -- Migration -- Proliferation
1,Glycolysis -- Invasion -- Migration -- Proliferation
3872,Glycolysis -- Invasion -- Migration -- Proliferation
3,Glycolysis -- Invasion -- Migration -- Proliferation
1935,Glycolysis -- Invasion -- Migration -- Proliferation
5,Glycolysis -- Invasion -- Migration -- Proliferation
6,Glycolysis -- Invasion -- Migration -- Proliferation
2518,Glycolysis -- Invasion -- Migration -- Proliferation
8,Glycolysis -- Invasion -- Migration -- Proliferation
9,Glycolysis -- Invasion -- Migration -- Proliferation
10,Apoptosis -- Invasion
11,Glycolysis -- Invasion -- Migration -- Proliferation
2264,Glycolysis -- Invasion -- Migration -- Proliferation
13,Glycolysis -- Invasion -- Migration -- Proliferation
3780,Glycolysis -- Invasion -- Migration -- Proliferation
15,Glycolysis -- Invasion -- Migration -- Proliferation
1839,Glycolysis -- Invasion -- Migration -- Proliferation
17,Glycolysis -- Invasion -- Migration -- Proliferation
18,Glycolysis -- Invasion -- Migration -- Proliferation
2054,Glycolysis -- Invasion -- Migration -- Proliferation
20,Glycolysis -- Invasion -- Migration -- Proliferation
21,Glycolysis -- Invasion -- Migration -- Proliferation
1944,Glycolysis -- Invasion -- Migration -- Proliferation
23,Glycolysis -- Invasion -- Migration -- Proliferation
24,Glycolysis -- Invasion -- Migration -- Proliferation
25,Glycolysis -- Invasion -- Migration -- Proliferation
26,Glycolysis -- Invasion -- Migration -- Proliferation
27,Glycolysis -- Invasion -- Migration -- Proliferation
4262,Glycolysis -- Invasion -- Migration -- Proliferation
3523,Glycolysis -- Invasion -- Migration -- Proliferation
6207,Glycolysis -- Invasion -- Proliferation
31,Glycolysis -- Invasion -- Migration -- Proliferation
1818,Glycolysis -- Invasion -- Migration -- Proliferation
33,Glycolysis -- Invasion -- Migration -- Proliferation
34,Glycolysis -- Invasion -- Migration -- Proliferation
35,Glycolysis -- Invasion -- Migration -- Proliferation
6611,Glycolysis -- Invasion -- Migration -- Proliferation
5605,Glycolysis -- Invasion -- Migration -- Proliferation
38,Glycolysis -- Invasion -- Proliferation
5823,Glycolysis -- Invasion -- Migration -- Proliferation
40,Glycolysis -- Invasion -- Migration -- Proliferation
41,Glycolysis -- Invasion -- Migration -- Proliferation
42,Glycolysis -- Invasion -- Proliferation
3050,Glycolysis -- Invasion -- Migration -- Proliferation
3928,Glycolysis -- Invasion -- Proliferation
1834,Glycolysis -- Invasion -- Migration -- Proliferation
5215,Glycolysis -- Invasion -- Migration -- Proliferation
4149,Glycolysis -- Invasion -- Migration -- Proliferation
48,Glycolysis -- Invasion -- Migration -- Proliferation
4358,Glycolysis -- Invasion -- Migration -- Proliferation
2357,Glycolysis -- Invasion -- Migration -- Proliferation
51,Glycolysis -- Invasion -- Migration -- Proliferation
2832,Glycolysis -- Invasion -- Migration -- Proliferation
53,Glycolysis -- Invasion -- Migration -- Proliferation
2875,Glycolysis -- Invasion -- Migration -- Proliferation
55,Glycolysis -- Invasion -- Migration -- Proliferation
1389,Glycolysis -- Invasion -- Migration -- Proliferation
5777,Glycolysis -- Invasion -- Migration -- Proliferation
7480,Glycolysis -- Invasion -- Migration -- Proliferation
59,Glycolysis -- Invasion -- Migration -- Proliferation
1920,Glycolysis -- Invasion -- Migration -- Proliferation
61,Glycolysis -- Invasion -- Migration -- Proliferation
62,Glycolysis -- Invasion -- Migration -- Proliferation
63,Glycolysis -- Invasion -- Migration -- Proliferation
64,Glycolysis -- Invasion -- Migration -- Proliferation
65,Glycolysis -- Invasion -- Migration -- Proliferation
66,Glycolysis -- Invasion -- Migration -- Proliferation
67,Glycolysis -- Invasion -- Migration -- Proliferation
4067,Glycolysis -- Invasion -- Migration -- Proliferation
4858,Glycolysis -- Invasion -- Migration -- Proliferation
70,Glycolysis -- Invasion -- Migration -- Proliferation
3057,Glycolysis -- Invasion -- Migration -- Proliferation
72,Glycolysis -- Invasion -- Migration -- Proliferation
73,Glycolysis -- Invasion -- Migration -- Proliferation
5345,Glycolysis -- Invasion -- Migration -- Proliferation
75,Glycolysis -- Invasion -- Migration -- Proliferation
2630,Glycolysis -- Invasion -- Migration -- Proliferation
77,Glycolysis -- Invasion -- Migration -- Proliferation
78,Glycolysis -- Invasion -- Migration -- Proliferation
79,Glycolysis -- Invasion -- Migration -- Proliferation
80,Glycolysis -- Invasion -- Migration -- Proliferation
1707,Glycolysis -- Invasion -- Migration -- Proliferation
5686,Glycolysis -- Invasion -- Proliferation
83,Glycolysis -- Invasion -- Migration -- Proliferation
84,Glycolysis -- Invasion -- Migration -- Proliferation
85,Glycolysis -- Invasion -- Migration -- Proliferation
86,Glycolysis -- Invasion -- Migration -- Proliferation
87,Glycolysis -- Invasion -- Migration -- Proliferation
88,Glycolysis -- Invasion -- Migration -- Proliferation
4717,Glycolysis -- Invasion -- Migration -- Proliferation
90,Glycolysis -- Invasion -- Migration -- Proliferation
91,Glycolysis -- Invasion -- Migration -- Proliferation
92,Glycolysis -- Invasion -- Migration -- Proliferation
93,Glycolysis -- Invasion -- Migration -- Proliferation
94,Glycolysis -- Invasion -- Proliferation
95,Glycolysis -- Invasion -- Migration -- Proliferation
96,Glycolysis -- Invasion -- Migration -- Proliferation
97,Glycolysis -- Invasion -- Migration -- Proliferation
98,Glycolysis -- Invasion -- Migration -- Proliferation
2517,Glycolysis -- Invasion -- Migration -- Proliferation
100,Glycolysis -- Invasion -- Migration -- Proliferation
101,Glycolysis -- Invasion -- Migration -- Proliferation
102,Glycolysis -- Invasion -- Migration -- Proliferation
6383,Glycolysis -- Invasion -- Migration -- Proliferation
104,Glycolysis -- Invasion -- Migration -- Proliferation
3128,Glycolysis -- Invasion -- Migration -- Proliferation
1769,Glycolysis -- Invasion -- Migration -- Proliferation
107,Glycolysis -- Invasion -- Proliferation
108,Glycolysis -- Invasion -- Migration -- Proliferation
109,Glycolysis -- Invasion -- Migration -- Proliferation
110,Glycolysis -- Invasion -- Migration -- Proliferation
4349,Glycolysis -- Invasion -- Migration -- Proliferation
112,Glycolysis -- Invasion -- Proliferation
4414,Glycolysis -- Invasion -- Migration -- Proliferation
114,Glycolysis -- Invasion -- Migration -- Proliferation
115,Glycolysis -- Invasion -- Migration -- Proliferation
1393,Glycolysis -- Invasion -- Proliferation
117,Glycolysis -- Invasion -- Migration -- Proliferation
118,Glycolysis -- Invasion -- Migration -- Proliferation
119,Glycolysis -- Invasion -- Migration -- Proliferation
120,Glycolysis -- Invasion -- Migration -- Proliferation
4584,Glycolysis -- Invasion -- Migration -- Proliferation
122,Glycolysis -- Invasion -- Migration -- Proliferation
2587,Glycolysis -- Invasion -- Migration -- Proliferation
124,Glycolysis -- Invasion -- Proliferation
125,Glycolysis -- Invasion -- Migration -- Proliferation
5153,Glycolysis -- Invasion -- Migration -- Proliferation
3279,Glycolysis -- Invasion -- Migration -- Proliferation
1919,Glycolysis -- Invasion -- Proliferation
129,Glycolysis -- Invasion -- Proliferation
4187,Glycolysis -- Invasion -- Migration -- Proliferation
4045,Glycolysis -- Invasion -- Proliferation
4240,Glycolysis -- Invasion -- Migration -- Proliferation
1816,Glycolysis -- Invasion -- Migration -- Proliferation
2106,Glycolysis -- Invasion -- Migration -- Proliferation
1343,Glycolysis -- Invasion -- Migration -- Proliferation
5587,Glycolysis -- Invasion -- Migration -- Proliferation
6148,Glycolysis -- Invasion -- Migration -- Proliferation
3311,Glycolysis -- Invasion -- Migration -- Proliferation
139,Glycolysis -- Invasion -- Migration -- Proliferation
140,Glycolysis -- Invasion -- Migration -- Proliferation
141,Glycolysis -- Invasion -- Migration -- Proliferation
142,Glycolysis -- Invasion -- Migration -- Proliferation
143,Glycolysis -- Invasion -- Migration -- Proliferation
144,Glycolysis -- Invasion -- Migration -- Proliferation
145,Glycolysis -- Invasion -- Migration -- Proliferation
146,Glycolysis -- Invasion -- Migration -- Proliferation
147,Glycolysis -- Invasion -- Proliferation
148,Glycolysis -- Invasion -- Migration -- Proliferation
149,Glycolysis -- Invasion -- Migration -- Proliferation
150,Glycolysis -- Invasion -- Migration -- Proliferation
151,Glycolysis -- Invasion -- Migration -- Proliferation
152,Glycolysis -- Invasion -- Proliferation
2552,Glycolysis -- Invasion -- Migration -- Proliferation
1752,Glycolysis -- Invasion -- Migration -- Proliferation
