x,y,z,type
-190,290,-30,0
-190,310,-30,0
-190,330,-30,0
-170,-330,-30,0
-170,-310,-30,0
-170,-290,-30,0
-170,-270,-30,0
-170,-250,-30,0
-170,-230,-30,0
-170,-210,-30,0
-170,-190,-30,0
-170,-170,-30,0
-170,-150,-30,0
-170,-130,-30,0
-170,-110,-30,0
-170,-90,-30,0
-170,-70,-30,0
-170,-50,-30,0
-170,-30,-30,0
-170,-10,-30,0
-170,10,-30,0
-170,30,-30,0
-170,50,-30,0
-170,70,-30,0
-170,90,-30,0
-170,110,-30,0
-170,130,-30,0
-170,150,-30,0
-170,170,-30,0
-170,190,-30,0
-170,210,-30,0
-170,230,-30,0
-170,250,-30,0
-170,270,-30,0
-170,290,-30,0
-170,310,-30,0
-170,330,-30,0
-150,-330,-30,0
-150,-310,-30,0
-150,-290,-30,0
-150,-270,-30,0
-150,-250,-30,0
-150,-230,-30,0
-150,-210,-30,0
-150,-190,-30,0
-150,-170,-30,0
-150,-150,-30,0
-150,-130,-30,0
-150,-110,-30,0
-150,-90,-30,0
-150,-70,-30,0
-150,-50,-30,0
-150,-30,-30,0
-150,-10,-30,0
-150,10,-30,0
-150,30,-30,0
-150,50,-30,0
-150,70,-30,0
-150,90,-30,0
-150,110,-30,0
-150,130,-30,0
-150,150,-30,0
-150,170,-30,0
-150,190,-30,0
-150,210,-30,0
-150,230,-30,0
-150,250,-30,0
-150,270,-30,0
-150,290,-30,0
-150,310,-30,0
-150,330,-30,0
-130,-330,-30,0
-130,-310,-30,0
-130,-290,-30,0
-130,-270,-30,0
-130,-250,-30,0
-130,-230,-30,0
-130,-210,-30,0
-130,-190,-30,0
-130,-170,-30,0
-130,-150,-30,0
-130,-130,-30,0
-130,-110,-30,0
-130,-90,-30,0
-130,-70,-30,0
-130,-50,-30,0
-130,-30,-30,0
-130,-10,-30,0
-130,10,-30,0
-130,30,-30,0
-130,50,-30,0
-130,70,-30,0
-130,90,-30,0
-130,110,-30,0
-130,130,-30,0
-130,150,-30,0
-130,170,-30,0
-130,190,-30,0
-130,210,-30,0
-130,230,-30,0
-130,250,-30,0
-130,270,-30,0
-130,290,-30,0
-130,310,-30,0
-130,330,-30,0
-110,-330,-30,0
-110,-310,-30,0
-110,-290,-30,0
-110,-270,-30,0
-110,-250,-30,0
-110,-230,-30,0
-110,-210,-30,0
-110,-190,-30,0
-110,-170,-30,0
-110,-150,-30,0
-110,-130,-30,0
-110,-110,-30,0
-110,-90,-30,0
-110,-70,-30,0
-110,-50,-30,0
-110,-30,-30,0
-110,-10,-30,0
-110,10,-30,0
-110,30,-30,0
-110,50,-30,0
-110,70,-30,0
-110,90,-30,0
-110,110,-30,0
-110,130,-30,0
-110,150,-30,0
-110,170,-30,0
-110,190,-30,0
-110,210,-30,0
-110,230,-30,0
-110,250,-30,0
-110,270,-30,0
-110,290,-30,0
-110,310,-30,0
-110,330,-30,0
-90,-330,-30,0
-90,-310,-30,0
-90,-290,-30,0
-90,-270,-30,0
-90,-250,-30,0
-90,-230,-30,0
-90,-210,-30,0
-90,-190,-30,0
-90,-170,-30,0
-90,-150,-30,0
-90,-130,-30,0
-90,-110,-30,0
-90,-90,-30,0
-90,-70,-30,0
-90,-50,-30,0
-90,-30,-30,0
-90,-10,-30,0
-90,10,-30,0
-90,30,-30,0
-90,50,-30,0
-90,70,-30,0
-90,90,-30,0
-90,110,-30,0
-90,130,-30,0
-90,150,-30,0
-90,170,-30,0
-90,190,-30,0
-90,210,-30,0
-90,230,-30,0
-90,250,-30,0
-90,270,-30,0
-90,290,-30,0
-90,310,-30,0
-90,330,-30,0
-70,-330,-30,0
-70,-310,-30,0
-70,-290,-30,0
-70,-270,-30,0
-70,-250,-30,0
-70,-230,-30,0
-70,-210,-30,0
-70,-190,-30,0
-70,-170,-30,0
-70,-150,-30,0
-70,-130,-30,0
-70,-110,-30,0
-70,-90,-30,0
-70,-70,-30,0
-70,30,-30,0
-70,50,-30,0
-70,70,-30,0
-70,90,-30,0
-70,110,-30,0
-70,130,-30,0
-70,150,-30,0
-70,170,-30,0
-70,190,-30,0
-70,210,-30,0
-70,230,-30,0
-70,250,-30,0
-70,270,-30,0
-70,290,-30,0
-70,310,-30,0
-70,330,-30,0
-50,-330,-30,0
-50,-310,-30,0
-50,-290,-30,0
-50,-270,-30,0
-50,-250,-30,0
-50,-230,-30,0
-50,-210,-30,0
-50,-190,-30,0
-50,-170,-30,0
-50,-150,-30,0
-50,-130,-30,0
-50,-110,-30,0
-50,-90,-30,0
-50,-70,-30,0
-50,30,-30,0
-50,50,-30,0
-50,70,-30,0
-50,90,-30,0
-50,110,-30,0
-50,130,-30,0
-50,150,-30,0
-50,170,-30,0
-50,190,-30,0
-50,210,-30,0
-50,230,-30,0
-50,250,-30,0
-50,270,-30,0
-50,290,-30,0
-50,310,-30,0
-50,330,-30,0
-30,-330,-30,0
-30,-310,-30,0
-30,-290,-30,0
-30,-270,-30,0
-30,-250,-30,0
-30,-230,-30,0
-30,-210,-30,0
-30,-190,-30,0
-30,-170,-30,0
-30,-150,-30,0
-30,-130,-30,0
-30,-110,-30,0
-30,-90,-30,0
-30,-70,-30,0
-30,30,-30,0
-30,50,-30,0
-30,70,-30,0
-30,90,-30,0
-30,110,-30,0
-30,130,-30,0
-30,150,-30,0
-30,170,-30,0
-30,190,-30,0
-30,210,-30,0
-30,230,-30,0
-30,250,-30,0
-30,270,-30,0
-30,290,-30,0
-30,310,-30,0
-30,330,-30,0
-10,-330,-30,0
-10,-310,-30,0
-10,-290,-30,0
-10,-270,-30,0
-10,-250,-30,0
-10,-230,-30,0
-10,-210,-30,0
-10,-190,-30,0
-10,-170,-30,0
-10,-150,-30,0
-10,-130,-30,0
-10,-110,-30,0
-10,-90,-30,0
-10,-70,-30,0
-10,30,-30,0
-10,50,-30,0
-10,70,-30,0
-10,90,-30,0
-10,110,-30,0
-10,130,-30,0
-10,150,-30,0
-10,170,-30,0
-10,190,-30,0
-10,210,-30,0
-10,230,-30,0
-10,250,-30,0
-10,270,-30,0
-10,290,-30,0
-10,310,-30,0
-10,330,-30,0
10,-330,-30,0
10,-310,-30,0
10,-290,-30,0
10,-270,-30,0
10,-250,-30,0
10,-230,-30,0
10,-210,-30,0
10,-190,-30,0
10,-170,-30,0
10,-150,-30,0
10,-130,-30,0
10,-110,-30,0
10,-90,-30,0
10,-70,-30,0
10,-50,-30,0
10,-30,-30,0
10,-10,-30,0
10,10,-30,0
10,30,-30,0
10,50,-30,0
10,70,-30,0
10,90,-30,0
10,110,-30,0
10,130,-30,0
10,150,-30,0
10,170,-30,0
10,190,-30,0
10,210,-30,0
10,230,-30,0
10,250,-30,0
10,270,-30,0
10,290,-30,0
10,310,-30,0
10,330,-30,0
30,-330,-30,0
30,-310,-30,0
30,-290,-30,0
30,-270,-30,0
30,-250,-30,0
30,-230,-30,0
30,-210,-30,0
30,-190,-30,0
30,-170,-30,0
30,-150,-30,0
30,-130,-30,0
30,-110,-30,0
30,-90,-30,0
30,-70,-30,0
30,-50,-30,0
30,-30,-30,0
30,-10,-30,0
30,10,-30,0
30,30,-30,0
30,50,-30,0
30,70,-30,0
30,90,-30,0
30,110,-30,0
30,130,-30,0
30,150,-30,0
30,170,-30,0
30,190,-30,0
30,210,-30,0
30,230,-30,0
30,250,-30,0
30,270,-30,0
30,290,-30,0
30,310,-30,0
30,330,-30,0
50,-330,-30,0
50,-310,-30,0
50,-290,-30,0
50,-270,-30,0
50,-250,-30,0
50,-230,-30,0
50,-210,-30,0
50,-190,-30,0
50,-170,-30,0
50,-150,-30,0
50,-130,-30,0
50,-110,-30,0
50,-90,-30,0
50,-70,-30,0
50,-50,-30,0
50,-30,-30,0
50,-10,-30,0
50,10,-30,0
50,30,-30,0
50,50,-30,0
50,70,-30,0
50,90,-30,0
50,110,-30,0
50,130,-30,0
50,150,-30,0
50,170,-30,0
50,190,-30,0
50,210,-30,0
50,230,-30,0
50,250,-30,0
50,270,-30,0
50,290,-30,0
50,310,-30,0
50,330,-30,0
70,-330,-30,0
70,-310,-30,0
