time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-11 00:00:00+00:00,168,9,13,5
2025-11-12 00:00:00+00:00,3,3,8,6
2025-11-13 00:00:00+00:00,5,5,10,2
2025-11-14 00:00:00+00:00,16,6,6,5
2025-11-15 00:00:00+00:00,3,3,2,2
2025-11-16 00:00:00+00:00,5,5,2,2
2025-11-17 00:00:00+00:00,2,2,3,3
2025-11-18 00:00:00+00:00,3,3,1,1
2025-11-19 00:00:00+00:00,2,2,4,1
2025-11-20 00:00:00+00:00,3,3,2,2
2025-11-21 00:00:00+00:00,4,3,2,1
2025-11-22 00:00:00+00:00,3,3,1,1
2025-11-23 00:00:00+00:00,2,2,11,1
2025-11-24 00:00:00+00:00,1,1,5,3
