time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-24 00:00:00+00:00,8,2,7.0,3.0
2025-06-25 00:00:00+00:00,108,7,24.0,7.0
2025-06-26 00:00:00+00:00,9,4,21.0,6.0
2025-06-27 00:00:00+00:00,14,8,4.0,3.0
2025-06-28 00:00:00+00:00,8,2,,
2025-06-29 00:00:00+00:00,9,3,,
2025-06-30 00:00:00+00:00,12,6,2.0,2.0
2025-07-01 00:00:00+00:00,14,7,,
2025-07-02 00:00:00+00:00,12,6,2.0,2.0
2025-07-03 00:00:00+00:00,12,6,14.0,2.0
2025-07-04 00:00:00+00:00,11,5,8.0,4.0
2025-07-05 00:00:00+00:00,10,4,,
2025-07-06 00:00:00+00:00,12,6,1.0,1.0
2025-07-07 00:00:00+00:00,3,3,23.0,6.0
