time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-09 00:00:00+00:00,2,2,12.0,3.0
2025-02-10 00:00:00+00:00,8,5,36.0,10.0
2025-02-11 00:00:00+00:00,121,5,60.0,7.0
2025-02-12 00:00:00+00:00,4,3,13.0,5.0
2025-02-13 00:00:00+00:00,6,3,56.0,12.0
2025-02-14 00:00:00+00:00,118,3,21.0,3.0
2025-02-15 00:00:00+00:00,6,3,,
2025-02-16 00:00:00+00:00,5,2,10.0,3.0
2025-02-17 00:00:00+00:00,7,4,1.0,1.0
2025-02-18 00:00:00+00:00,5,2,37.0,5.0
2025-02-19 00:00:00+00:00,2,2,12.0,7.0
2025-02-20 00:00:00+00:00,5,2,7.0,4.0
2025-02-21 00:00:00+00:00,6,3,2.0,2.0
2025-02-22 00:00:00+00:00,1,1,3.0,2.0
