time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-02 00:00:00+00:00,2,2,4,2
2025-11-03 00:00:00+00:00,10,6,21,5
2025-11-04 00:00:00+00:00,7,4,12,7
2025-11-05 00:00:00+00:00,5,3,14,5
2025-11-06 00:00:00+00:00,14,6,6,6
2025-11-07 00:00:00+00:00,4,4,4,4
2025-11-08 00:00:00+00:00,6,5,2,2
2025-11-09 00:00:00+00:00,4,4,4,1
2025-11-10 00:00:00+00:00,10,5,12,4
2025-11-11 00:00:00+00:00,168,9,13,5
2025-11-12 00:00:00+00:00,3,3,8,6
2025-11-13 00:00:00+00:00,5,5,10,2
2025-11-14 00:00:00+00:00,16,6,6,5
2025-11-15 00:00:00+00:00,1,1,2,2
