time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-11 00:00:00+00:00,5,5,,
2025-10-12 00:00:00+00:00,91,10,1.0,1.0
2025-10-13 00:00:00+00:00,2,2,3.0,3.0
2025-10-14 00:00:00+00:00,25,5,4.0,3.0
2025-10-15 00:00:00+00:00,58,6,4.0,3.0
2025-10-16 00:00:00+00:00,17,5,4.0,1.0
2025-10-17 00:00:00+00:00,15,3,20.0,6.0
2025-10-18 00:00:00+00:00,1,1,4.0,1.0
2025-10-19 00:00:00+00:00,12,4,,
2025-10-20 00:00:00+00:00,2,2,12.0,3.0
2025-10-21 00:00:00+00:00,14,4,4.0,4.0
2025-10-22 00:00:00+00:00,10,5,19.0,6.0
2025-10-23 00:00:00+00:00,5,4,15.0,6.0
2025-10-24 00:00:00+00:00,22,7,4.0,3.0
