time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-25 00:00:00+00:00,12,5,3,3
2025-12-26 00:00:00+00:00,10,3,3,2
2025-12-27 00:00:00+00:00,17,6,1,1
2025-12-28 00:00:00+00:00,10,3,0,0
2025-12-29 00:00:00+00:00,1,1,3,3
2025-12-30 00:00:00+00:00,8,5,0,0
2025-12-31 00:00:00+00:00,7,3,2,2
2026-01-01 00:00:00+00:00,7,3,3,2
2026-01-02 00:00:00+00:00,5,5,1,1
2026-01-03 00:00:00+00:00,7,3,5,4
2026-01-04 00:00:00+00:00,12,4,3,2
2026-01-05 00:00:00+00:00,2,2,11,3
2026-01-06 00:00:00+00:00,16,8,17,3
2026-01-07 00:00:00+00:00,12,5,9,4
