referrer,views_total,views_unique
Google,46,14
physiboss.github.io,43,12
paperswithcode.com,8,1
github.com,7,2
academic.oup.com,3,1
zenodo.org,2,1
en.wikipedia.org,2,1
mendeley.com,1,1
bio.tools,1,1
ecosia.org,1,1
