time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-22 00:00:00+00:00,8,2,6.0,3.0
2025-07-23 00:00:00+00:00,13,7,4.0,4.0
2025-07-24 00:00:00+00:00,12,6,6.0,5.0
2025-07-25 00:00:00+00:00,62,5,3.0,1.0
2025-07-26 00:00:00+00:00,9,3,1.0,1.0
2025-07-27 00:00:00+00:00,13,6,,
2025-07-28 00:00:00+00:00,8,2,2.0,2.0
2025-07-29 00:00:00+00:00,13,7,11.0,4.0
2025-07-30 00:00:00+00:00,8,2,3.0,3.0
2025-07-31 00:00:00+00:00,9,3,6.0,3.0
2025-08-01 00:00:00+00:00,12,6,7.0,2.0
2025-08-02 00:00:00+00:00,8,2,,
2025-08-03 00:00:00+00:00,11,5,,
