referrer,views_total,views_unique
Google,61,13
github.com,12,4
b2drop-onlyoffice.bsc.es,9,1
nature.com,4,1
physiboss.github.io,3,3
DuckDuckGo,2,1
Baidu,1,1
bio.tools,1,1
