time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,14,5,1,1
2026-09-08 00:00:00+00:00,5,3,8,3
2026-09-09 00:00:00+00:00,1,1,2,2
2026-09-10 00:00:00+00:00,8,7,40,6
2026-09-11 00:00:00+00:00,3,3,0,0
2026-09-12 00:00:00+00:00,4,4,0,0
2026-09-13 00:00:00+00:00,27,13,0,0
2026-09-14 00:00:00+00:00,4,4,8,2
2026-09-15 00:00:00+00:00,9,4,3,2
2026-09-16 00:00:00+00:00,11,6,1,1
2026-09-17 00:00:00+00:00,3,3,2,1
2026-09-18 00:00:00+00:00,10,5,5,4
2026-09-19 00:00:00+00:00,23,9,2,2
2026-09-20 00:00:00+00:00,11,6,1,1
