time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-08 00:00:00+00:00,12,3,1,1
2025-06-09 00:00:00+00:00,12,4,21,5
2025-06-10 00:00:00+00:00,109,6,3,2
2025-06-11 00:00:00+00:00,13,7,16,5
2025-06-12 00:00:00+00:00,11,5,1,1
2025-06-13 00:00:00+00:00,13,7,26,3
2025-06-14 00:00:00+00:00,8,2,1,1
2025-06-15 00:00:00+00:00,10,4,10,3
2025-06-16 00:00:00+00:00,13,7,3,1
2025-06-17 00:00:00+00:00,10,4,4,3
2025-06-18 00:00:00+00:00,10,4,44,12
2025-06-19 00:00:00+00:00,10,4,59,9
2025-06-20 00:00:00+00:00,13,6,10,8
2025-06-21 00:00:00+00:00,1,1,10,3
