time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-28 00:00:00+00:00,13,5,1,1
2026-03-01 00:00:00+00:00,10,6,2,1
2026-03-02 00:00:00+00:00,14,6,1,1
2026-03-03 00:00:00+00:00,10,6,12,3
2026-03-04 00:00:00+00:00,14,6,5,4
2026-03-05 00:00:00+00:00,4,4,12,4
2026-03-06 00:00:00+00:00,2,2,6,2
2026-03-07 00:00:00+00:00,7,3,2,2
2026-03-08 00:00:00+00:00,7,3,3,1
2026-03-09 00:00:00+00:00,20,5,21,4
2026-03-10 00:00:00+00:00,20,5,13,6
2026-03-11 00:00:00+00:00,18,5,12,5
2026-03-12 00:00:00+00:00,8,4,36,3
2026-03-13 00:00:00+00:00,17,9,5,2
