time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,19,10,18,3
2026-06-07 00:00:00+00:00,26,10,4,1
2026-06-08 00:00:00+00:00,15,6,18,6
2026-06-09 00:00:00+00:00,11,6,64,10
2026-06-10 00:00:00+00:00,13,6,3,1
2026-06-11 00:00:00+00:00,28,8,9,4
2026-06-12 00:00:00+00:00,25,8,10,8
2026-06-13 00:00:00+00:00,20,7,37,3
2026-06-14 00:00:00+00:00,19,5,10,2
2026-06-15 00:00:00+00:00,33,12,1,1
2026-06-16 00:00:00+00:00,11,6,10,2
2026-06-17 00:00:00+00:00,16,7,11,2
2026-06-18 00:00:00+00:00,14,3,16,4
2026-06-19 00:00:00+00:00,34,9,4,2
