time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-25 00:00:00+00:00,4,4,1.0,1.0
2025-11-26 00:00:00+00:00,468,11,9.0,5.0
2025-11-27 00:00:00+00:00,3,3,3.0,3.0
2025-11-28 00:00:00+00:00,4,4,6.0,2.0
2025-11-29 00:00:00+00:00,3,3,1.0,1.0
2025-11-30 00:00:00+00:00,6,6,9.0,4.0
2025-12-01 00:00:00+00:00,50,15,41.0,7.0
2025-12-02 00:00:00+00:00,140,15,12.0,3.0
2025-12-03 00:00:00+00:00,226,35,20.0,5.0
2025-12-04 00:00:00+00:00,364,9,24.0,4.0
2025-12-05 00:00:00+00:00,17,13,29.0,6.0
2025-12-06 00:00:00+00:00,9,5,19.0,6.0
2025-12-07 00:00:00+00:00,12,4,,
2025-12-08 00:00:00+00:00,2,2,3.0,3.0
