time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-29 00:00:00+00:00,6,3,25.0,5.0
2024-05-30 00:00:00+00:00,2,2,2.0,2.0
2024-05-31 00:00:00+00:00,2,2,,
2024-06-01 00:00:00+00:00,1,1,3.0,1.0
2024-06-02 00:00:00+00:00,1,1,,
2024-06-03 00:00:00+00:00,8,4,7.0,2.0
2024-06-04 00:00:00+00:00,79,5,20.0,5.0
2024-06-05 00:00:00+00:00,1,1,,
2024-06-06 00:00:00+00:00,2,2,41.0,7.0
2024-06-07 00:00:00+00:00,73,2,36.0,8.0
2024-06-08 00:00:00+00:00,10,4,1.0,1.0
2024-06-09 00:00:00+00:00,41,3,3.0,3.0
2024-06-10 00:00:00+00:00,47,7,72.0,4.0
2024-06-11 00:00:00+00:00,36,1,47.0,3.0
