referrer,views_total,views_unique
Google,34,12
nature.com,13,2
github.com,8,1
arnaumontagud.netlify.app,6,1
physiboss.github.io,3,2
Baidu,1,1
chatgpt.com,1,1
institut-curie.org,1,1
