time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-21 00:00:00+00:00,1,1,104,10
2024-03-22 00:00:00+00:00,35,4,60,8
2024-03-23 00:00:00+00:00,1,1,15,2
2024-03-24 00:00:00+00:00,1,1,10,2
2024-03-25 00:00:00+00:00,1,1,70,5
2024-03-26 00:00:00+00:00,1,1,47,5
2024-03-27 00:00:00+00:00,112,2,123,5
2024-03-28 00:00:00+00:00,35,2,148,5
2024-03-29 00:00:00+00:00,184,3,17,4
2024-03-30 00:00:00+00:00,42,4,27,2
2024-03-31 00:00:00+00:00,1,1,17,5
2024-04-01 00:00:00+00:00,147,3,27,5
2024-04-02 00:00:00+00:00,13,10,13,9
2024-04-03 00:00:00+00:00,1,1,11,4
