time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-15 00:00:00+00:00,10,4,10.0,3.0
2025-06-16 00:00:00+00:00,13,7,3.0,1.0
2025-06-17 00:00:00+00:00,10,4,4.0,3.0
2025-06-18 00:00:00+00:00,10,4,44.0,12.0
2025-06-19 00:00:00+00:00,10,4,59.0,9.0
2025-06-20 00:00:00+00:00,13,6,10.0,8.0
2025-06-21 00:00:00+00:00,9,3,10.0,3.0
2025-06-22 00:00:00+00:00,8,2,,
2025-06-23 00:00:00+00:00,9,3,19.0,5.0
2025-06-24 00:00:00+00:00,8,2,7.0,3.0
2025-06-25 00:00:00+00:00,108,7,24.0,7.0
2025-06-26 00:00:00+00:00,9,4,21.0,6.0
2025-06-27 00:00:00+00:00,14,8,4.0,3.0
