time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-22 00:00:00+00:00,35.0,4.0,60,8
2024-03-23 00:00:00+00:00,1.0,1.0,15,2
2024-03-24 00:00:00+00:00,1.0,1.0,10,2
2024-03-25 00:00:00+00:00,1.0,1.0,70,5
2024-03-26 00:00:00+00:00,1.0,1.0,47,5
2024-03-27 00:00:00+00:00,112.0,2.0,123,5
2024-03-28 00:00:00+00:00,35.0,2.0,148,5
2024-03-29 00:00:00+00:00,184.0,3.0,17,4
2024-03-30 00:00:00+00:00,42.0,4.0,27,2
2024-03-31 00:00:00+00:00,1.0,1.0,17,5
2024-04-01 00:00:00+00:00,147.0,3.0,27,5
2024-04-02 00:00:00+00:00,13.0,10.0,13,9
2024-04-03 00:00:00+00:00,2.0,2.0,11,4
2024-04-04 00:00:00+00:00,,,1,1
