time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-29 00:00:00+00:00,1,1,14.0,6.0
2025-01-30 00:00:00+00:00,6,4,5.0,5.0
2025-01-31 00:00:00+00:00,6,3,12.0,4.0
2025-02-01 00:00:00+00:00,5,2,,
2025-02-02 00:00:00+00:00,6,3,1.0,1.0
2025-02-03 00:00:00+00:00,6,3,5.0,1.0
2025-02-04 00:00:00+00:00,6,3,20.0,2.0
2025-02-05 00:00:00+00:00,1,1,1.0,1.0
2025-02-06 00:00:00+00:00,6,3,44.0,4.0
2025-02-07 00:00:00+00:00,675,5,34.0,2.0
2025-02-08 00:00:00+00:00,7,3,,
2025-02-09 00:00:00+00:00,2,2,12.0,3.0
2025-02-10 00:00:00+00:00,8,5,36.0,10.0
2025-02-11 00:00:00+00:00,116,3,60.0,7.0
