time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-26 00:00:00+00:00,1.0,1.0,47.0,5.0
2024-03-27 00:00:00+00:00,112.0,2.0,123.0,5.0
2024-03-28 00:00:00+00:00,35.0,2.0,148.0,5.0
2024-03-29 00:00:00+00:00,184.0,3.0,17.0,4.0
2024-03-30 00:00:00+00:00,42.0,4.0,27.0,2.0
2024-03-31 00:00:00+00:00,1.0,1.0,17.0,5.0
2024-04-01 00:00:00+00:00,147.0,3.0,27.0,5.0
2024-04-02 00:00:00+00:00,13.0,10.0,13.0,9.0
2024-04-03 00:00:00+00:00,2.0,2.0,11.0,4.0
2024-04-04 00:00:00+00:00,2.0,2.0,1.0,1.0
2024-04-05 00:00:00+00:00,1.0,1.0,5.0,3.0
2024-04-06 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-04-07 00:00:00+00:00,1.0,1.0,,
2024-04-08 00:00:00+00:00,,,13.0,4.0
