27	30	0
104	61	0
92	31	0
27	32	0
110	55	0
57	26	0
115	64	0
73	64	0
108	29	0
17	40	0
15	60	0
113	66	0
105	66	0
107	66	0
71	62	0
123	56	0
120	37	0
114	27	0
17	26	0
100	31	0
22	55	0
117	66	0
112	75	0
111	66	0
84	67	0
75	64	0
27	34	0
91	54	0
111	28	0
33	30	0
74	63	0
102	29	0
108	65	0
112	53	0
20	33	0
84	55	0
102	23	0
78	7	0
109	58	0
110	57	0
106	59	0
80	43	0
110	65	0
68	63	0
110	29	0
117	30	0
14	61	0
76	65	0
16	27	0
114	63	0
94	61	0
78	27	0
56	25	0
106	67	0
15	26	0
34	61	0
93	70	0
83	48	0
75	40	0
53	20	0
119	6	0
108	57	0
87	56	0
109	66	0
94	69	0
26	35	0
110	19	0
99	68	0
123	72	0
24	27	0
106	0	0
82	65	0

